cristal,,vidrio,,Acetato,,cristal,,Viodrio,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,
2500,91.43193054,2500,88.65403748,2500,76.46645355,2500,0.03967254609,2500,0.05187251046,
2499,91.38287354,2499,88.66169739,2499,76.91982269,2499,0.03965280578,2499,0.0518290177,
2498,91.3502121,2498,88.66400909,2498,77.02610016,2498,0.03962121531,2498,0.05178935453,
2497,91.32097626,2497,88.66856384,2497,76.76552582,2497,0.03956450149,2497,0.05176249519,
2496,91.32196045,2496,88.68138123,2496,76.10579681,2496,0.03945617005,2496,0.0517334193,
2495,91.33299255,2495,88.68240356,2495,75.12043762,2495,0.03943057358,2495,0.05171379447,
2494,91.36831665,2494,88.68706512,2494,73.92638397,2494,0.03937688842,2494,0.05169807747,
2493,91.40725708,2493,88.69810486,2493,72.5635376,2493,0.03939338401,2493,0.05165620893,
2492,91.4424057,2492,88.69458771,2492,71.19506073,2492,0.03946025297,2492,0.05165274069,
2491,91.46842957,2491,88.70429993,2491,69.87116241,2491,0.03953228891,2491,0.05161090568,
2490,91.47397614,2490,88.70952606,2490,68.67186737,2490,0.03958693147,2490,0.05159242079,
2489,91.45783997,2489,88.72025299,2489,67.72311401,2489,0.03963088617,2489,0.05154779181,
2488,91.42189026,2488,88.72311401,2488,66.97696686,2488,0.03964341804,2488,0.05153129622,
2487,91.3859787,2487,88.72711182,2487,66.43184662,2487,0.03960479423,2487,0.05147006363,
2486,91.34822845,2486,88.73343658,2486,66.01535034,2486,0.03958182409,2486,0.05145822838,
2485,91.32778931,2485,88.73646545,2485,65.66242981,2485,0.03951048851,2485,0.05146254227,
2484,91.32820892,2484,88.73836517,2484,65.3088913,2484,0.03941141069,2484,0.05141410977,
2483,91.35437012,2483,88.74732208,2483,64.88122559,2483,0.03935857862,2483,0.05136166513,
2482,91.39506531,2482,88.75717163,2482,64.32057953,2482,0.03934251145,2482,0.05136492848,
2481,91.43422699,2481,88.76026154,2481,63.58547211,2481,0.03938677907,2481,0.05133727938,
2480,91.46104431,2480,88.76490784,2480,62.61037064,2480,0.03944114596,2480,0.05129672587,
2479,91.4775238,2479,88.77507782,2479,61.45483398,2479,0.03953450173,2479,0.05126447603,
2478,91.47297668,2478,88.77693176,2478,60.24614716,2478,0.03956203535,2478,0.05121190101,
2477,91.44646454,2477,88.7868042,2477,59.09735107,2477,0.0396489799,2477,0.0512095727,
2476,91.40370941,2476,88.79232788,2476,58.19636154,2476,0.03964529186,2476,0.05119891092,
2475,91.36624146,2475,88.80077362,2475,57.72535706,2475,0.03960485011,2475,0.05113530904,
2474,91.33948517,2474,88.80738068,2474,57.73664856,2474,0.03954226896,2474,0.0511081703,
2473,91.33049011,2473,88.813797,2473,58.2436142,2473,0.03943890706,2473,0.05108435079,
2472,91.34757233,2472,88.8225708,2472,59.15215683,2472,0.03937161714,2472,0.05107121915,
2471,91.37002563,2471,88.81735229,2471,60.288517,2471,0.03932763264,2471,0.05102734268,
2470,91.41684723,2470,88.82442474,2470,61.56097031,2470,0.03935376182,2470,0.0510010235,
2469,91.45814514,2469,88.83432007,2469,62.89443207,2469,0.03940032795,2469,0.05098166689,
2468,91.48558044,2468,88.83581543,2468,64.16026306,2468,0.03948361054,2468,0.05094827712,
2467,91.48465729,2467,88.84270477,2467,65.48098755,2467,0.03956362233,2467,0.05089189857,
2466,91.46271515,2466,88.84809875,2466,66.92734528,2466,0.03963252902,2466,0.05087769777,
2465,91.43348694,2465,88.85450745,2465,68.40209961,2465,0.03966363892,2465,0.05084632337,
2464,91.38856506,2464,88.85786438,2464,70.04420471,2464,0.03962248936,2464,0.05083206668,
2463,91.35364532,2463,88.87188721,2463,71.59970856,2463,0.03955585137,2463,0.05077543855,
2462,91.33580017,2462,88.87499237,2462,72.95691681,2462,0.03944593668,2462,0.0507854782,
2461,91.33901978,2461,88.88284302,2461,74.06858063,2461,0.03934475034,2461,0.0507199876,
2460,91.3649292,2460,88.88684082,2460,74.79883575,2460,0.03932525218,2460,0.05073950812,
2459,91.40458679,2459,88.89111328,2459,75.07980347,2459,0.03925922513,2459,0.05067431182,
2458,91.44870758,2458,88.89855957,2458,74.87636566,2458,0.03931453824,2458,0.05064100772,
2457,91.48438263,2457,88.90393066,2457,74.2064209,2457,0.03942402452,2457,0.05062492192,
2456,91.50185394,2456,88.91260529,2456,73.18683624,2456,0.03952511773,2456,0.05058612302,
2455,91.48556519,2455,88.91349792,2455,71.97418213,2455,0.03958993405,2455,0.05054214969,
2454,91.45511627,2454,88.91954041,2454,70.6753006,2454,0.03965847939,2454,0.05054432899,
2453,91.41786957,2453,88.92345428,2453,69.4548111,2453,0.03965280578,2453,0.0505307205,
2452,91.37156677,2452,88.93461609,2452,68.47784424,2452,0.03954646736,2452,0.05050344393,
2451,91.34294128,2451,88.93650818,2451,67.85042572,2451,0.03946215287,2451,0.05047439784,
2450,91.3463974,2450,88.9449234,2450,67.69374847,2450,0.03935730457,2450,0.05044956505,
2449,91.36181641,2449,88.94886017,2449,67.98849487,2449,0.03925996274,2449,0.05041895062,
2448,91.3968811,2448,88.95024109,2448,68.75740051,2448,0.03923607618,2448,0.05037697405,
2447,91.44078827,2447,88.95275879,2447,69.92988586,2447,0.03928390518,2447,0.05038339645,
2446,91.47788239,2446,88.95736694,2446,71.38956451,2446,0.03937541321,2446,0.05035287514,
2445,91.50215912,2445,88.96659088,2445,73.0799942,2445,0.03947051242,2445,0.0503218025,
2444,91.5018692,2444,88.97122955,2444,74.73708344,2444,0.03961571306,2444,0.05033014342,
2443,91.46887207,2443,88.97344971,2443,76.20147705,2443,0.03965663537,2443,0.05027471855,
2442,91.42253876,2442,88.97412109,2442,77.31475067,2442,0.03964373097,2442,0.05026483536,
2441,91.37970734,2441,88.98033142,2441,77.9801178,2441,0.03958131373,2441,0.05023920536,
2440,91.34934235,2440,88.98695374,2440,78.11621094,2440,0.03945668042,2440,0.05022176728,
2439,91.34069824,2439,88.99169922,2439,77.69464111,2439,0.03934149072,2439,0.05018315092,
2438,91.35270691,2438,88.98667908,2438,76.74193573,2438,0.0392935127,2438,0.05020241439,
2437,91.3925705,2437,88.9991684,2437,75.41585541,2437,0.03919797018,2437,0.05013515055,
2436,91.43022156,2436,88.99808502,2436,73.9486084,2436,0.03924874216,2436,0.05015357211,
2435,91.47187805,2435,88.99799347,2435,72.38272095,2435,0.03932468221,2435,0.05012858286,
2434,91.50699615,2434,89.00577545,2434,70.94745636,2434,0.03948105872,2434,0.05012393743,
2433,91.50125122,2433,89.00842285,2433,69.72851563,2433,0.03961633518,2433,0.05009084567,
2432,91.47948456,2432,89.00785828,2432,68.80860138,2432,0.03968601674,2432,0.05010423809,
2431,91.43548584,2431,89.01309204,2431,68.24970245,2431,0.03968114033,2431,0.05007449165,
2430,91.38162994,2430,89.01422882,2430,68.06333923,2430,0.03959614411,2430,0.0500729531,
2429,91.3453064,2429,89.0177002,2429,68.19513702,2429,0.03948431835,2429,0.05003451928,
2428,91.33200836,2428,89.01589203,2428,68.60470581,2428,0.03937861696,2428,0.05008869618,
2427,91.34443665,2427,89.02433777,2427,69.28385162,2427,0.03927571699,2427,0.05001534894,
2426,91.38474274,2426,89.0240097,2426,70.15875244,2426,0.039215222,2426,0.05005665496,
2425,91.43255615,2425,89.03238678,2425,71.19029999,2425,0.03924451768,2425,0.05000265688,
2424,91.47731018,2424,89.02527618,2424,72.2940979,2424,0.03932885081,2424,0.04997428134,
2423,91.50871277,2423,89.0308075,2423,73.31340027,2423,0.03949665278,2423,0.0499766916,
2422,91.50291443,2422,89.03031158,2422,74.13800049,2422,0.03960938752,2422,0.04998703301,
2421,91.47879028,2421,89.03591919,2421,74.62408447,2421,0.03970034048,2421,0.04993911088,
2420,91.43395996,2420,89.03630066,2420,74.65177917,2420,0.03970709443,2420,0.04998273402,
2419,91.38805389,2419,89.04459381,2419,74.19799042,2419,0.03961420804,2419,0.04993255064,
2418,91.33972931,2418,89.04064941,2418,73.31960297,2418,0.0394834429,2418,0.04995200783,
2417,91.33259583,2417,89.05226135,2417,72.23675537,2417,0.03936481476,2417,0.04993243143,
2416,91.34951019,2416,89.04776001,2416,71.08261871,2416,0.03926829249,2416,0.04994332418,
2415,91.37753296,2415,89.0530014,2415,70.07028961,2415,0.0392056182,2415,0.04989805073,
2414,91.43106842,2414,89.04508209,2414,69.26677704,2414,0.03926418349,2414,0.04993231595,
2413,91.48493958,2413,89.05744934,2413,68.8467865,2413,0.03939828649,2413,0.04991736263,
2412,91.51420593,2412,89.05181885,2412,68.86968231,2412,0.0395327732,2412,0.04990377277,
2411,91.5078125,2411,89.05431366,2411,69.31600189,2411,0.03966312855,2411,0.04988277704,
2410,91.48509979,2410,89.05197144,2410,70.11013794,2410,0.03972655162,2410,0.04989337549,
2409,91.42402649,2409,89.05643463,2409,71.17116547,2409,0.0397105515,2409,0.04985374212,
2408,91.38117218,2408,89.05177307,2408,72.41271973,2408,0.0395996049,2408,0.04984503239,
2407,91.34001923,2407,89.05857849,2407,73.5800705,2407,0.03946141526,2407,0.04986405,
2406,91.31920624,2406,89.05703735,2406,74.53213501,2406,0.03930870071,2406,0.0498820208,
2405,91.34145355,2405,89.06584167,2405,75.08041382,2405,0.03921462968,2405,0.04987964034,
2404,91.38134003,2404,89.06105804,2404,75.10093689,2404,0.03921210766,2404,0.04986050725,
